K,Linf
0.316,42.6
0.039,114.3
0.103,68.1
0.004,496.2
0.23,44
0.223,49
0.032,121.1
0.335,48.1
0.237,49.6
0.392,44.2
0.084,82.8
0.286,47.7
0.203,45.1
0.069,93.7
0.304,44.2
0.095,73.1
0.123,57.8
0.321,45.2
0.012,222
0.241,49
0.024,142.4
0.052,85.6
0.062,76.4
0.248,44.7
0.201,50.7
0.25,48.4
0.286,45.4
0.181,45.4
0.433,46
0.088,81.8
0.383,44.7
0.239,44.4
0.123,56.4
0.085,60.7
0.181,53.6
0.128,54.9
0.055,78.6
0.104,78.3
0.272,46.3
0.496,45.1
0.051,109
0.11,55.4
0.023,116
0.036,146.7
0.189,48.8
0.141,61.5
0.114,52.7
0.415,43.6
0.107,67.8
0.187,44.5
0.33,46
0.271,49
0.216,47.9
0.132,58.5
0.008,300
0.165,49.3
0.233,48
0.297,46.8
0.266,50.6
0.101,69.7
0.465,44.1
0.349,45.1
0.027,130.1
0.268,44.7
0.263,47.9
0.032,120.4
0.341,46.5
0.04,146.2
0.604,42.4
0.207,44.7
0.257,44.5
0.355,47.9
0.234,51.1
0.01,246.5
0.033,118.6
0.175,47
0.15,46.7
0.21,46.6
0.015,192.5
0.241,50.3
0.024,142.4
0.058,84.2
0.059,71.8
0.275,49.7
0.043,65.6
0.325,44
0.15,62
0.211,44.3
0.063,67.3
0.393,44.8
0.182,55.1
0.115,67.7
0.132,56
0.247,49.3
0.064,54.2
0.287,44.6
0.367,43.3
0.065,75.8
0.029,126.1
0.285,44.1
0.231,49.2
0.006,388.2
0.343,44.4
0.229,44.9
0.416,47.8
0.133,44.2
0.095,53.3
0.125,56.1
0.263,49
0.068,69.1
0.011,235.8
0.072,54.5
0.011,232.9
0.23,44.8
0.338,44.9
0.217,54.8
0.058,93.1
0.264,50
0.01,252.7
0.262,49.4
0.044,84.4
0.377,44
0.093,51.6
0.167,53.3
0.019,164.4
0.297,44.6
0.193,56.8
0.054,83.2
0.117,66.3
0.175,48
0.175,45.5
0.234,48.8
0.114,47.8
0.219,44.7
0.087,75.1
0.31,48.8
0.317,44.4
0.293,45.3
0.328,44
0.075,69.5
0.197,52.6
0.292,48.6
0.197,44.4
0.14,50.3
0.435,42.7
0.076,85.3
0.233,51.9
0.297,50.7
0.251,47.1
0.238,45.7
0.038,95.6
0.144,52
0.024,141.3
0.397,46.7
0.222,45.6
0.308,44.6
0.281,46.6
0.119,68.1
0.186,47.3
0.115,53.7
0.303,46
0.219,47.2
0.067,88.9
0.194,53.7
0.217,48.7
0.278,42.6
0.24,47.3
0.027,129.1
0.186,43.7
0.185,50.4
0.455,45
0.417,43.4
0.204,50.7
0.179,48
0.237,43.8
0.129,47.2
0.255,45.8
0.225,52.9
0.14,60.2
0.18,46.4
0.212,46.7
0.357,45.6
0.042,105.9
0.349,44.3
0.235,47.7
0.319,44.5
0.136,47.7
0.118,51.8
0.045,102.8
0.219,45.6
0.111,70.7
0.332,40.9
0.383,44.3
0.264,47.1
0.196,46.8
0.212,46.7
0.151,54.1
0.32,44.1
0.314,48.5
0.342,44.1
0.374,42.1
0.252,45.4
0.357,47.2
0.468,44.4
0.149,51
0.045,103.4
0.328,44.4
0.417,43.4
0.022,147.5
0.216,45.3
0.065,79.6
0.12,56.9
0.253,44.7
0.112,54.1
0.375,44.1
0.091,81.1
0.209,45.3
0.058,74.6
0.498,44.6
0.222,45.3
0.126,46.6
0.099,52.7
0.071,58.1
0.08,59.8
0.016,208.4
0.122,66
0.222,45.9
0.027,132.9
0.119,48.7
0.072,65.6
0.017,212.8
0.174,50.7
0.015,194.5
0.191,45.5
0.016,183
0.496,45.7
0.211,52.9
0.076,86.5
0.013,205.7
0.135,53
0.224,51.7
0.108,57
0.374,47
0.085,82.6
0.394,46.2
0.231,46.4
0.258,46.8
0.257,42.9
0.286,45
0.287,43.3
0.369,45.5
0.09,68.1
0.173,58.6
0.087,56.6
0.019,163.6
0.291,44.6
0.263,45.2
0.165,59.6
0.163,44.2
0.279,44.6
0.064,76.1
0.173,55.4
0.067,76.1
0.321,46
0.208,54.9
0.151,56.6
0.075,70.8
0.174,45.2
0.293,46.5
0.449,44.1
0.311,46.2
0.21,48.6
0.094,55.9
0.044,104
0.018,165.6
0.28,43.4
0.17,47.2
0.226,46.3
0.169,45.8
0.25,44.6
0.454,45.5
0.214,53
0.215,44
0.279,44.2
0.149,48.9
0.516,40.1
0.035,79
0.069,57
0.314,50.3
0.189,47
0.135,48.4
0.016,199.9
0.203,56.6
0.021,153.2
0.468,44.1
0.06,62.5
0.289,49.5
0.181,46.5
0.223,50.4
0.005,483.7
0.239,44
0.341,40.8
0.105,44.6
0.15,46.4
0.186,45.1
0.162,46.2
0.224,47.8
0.315,45.2
0.328,45.2
0.067,77.2
0.304,44.8
0.263,46.6
0.012,220.9
0.07,54.3
0.364,45.1
0.263,44.1
0.273,44.1
0.133,48.4
0.08,68.7
0.308,46.1
0.282,44
0.196,49.7
0.059,95.8
0.432,45
0.168,47.3
0.152,59.5
0.26,50.9
0.084,51.7
0.63,43.3
0.388,44.4
0.083,53.2
0.317,46.4
0.454,45.6
0.083,63.8
0.259,45.6
0.161,47.7
0.131,63.6
0.098,60.8
0.031,122
0.406,45.3
0.368,46.4
0.088,73.9
0.277,45.6
0.096,54.4
0.281,50.6
0.204,44.8
0.452,45.6
0.464,44.3
0.099,72.3
0.304,44.4
0.32,47.1
0.369,50.8
0.555,44.1
0.138,59.3
0.293,47.2
0.163,49.1
0.172,48.9
0.076,85.2
0.222,44.1
0.274,46
0.134,56.1
0.108,71.9
0.339,45.7
0.399,44.6
0.148,49.6
0.226,52
0.037,113.1
0.266,48.2
0.184,50
0.201,54.4
0.205,54.3
0.208,45.5
0.244,45.4
0.21,53.1
0.063,90.6
0.19,54.3
0.126,52.4
0.178,52.8
0.001,3710.7
0.307,45.8
0.262,45.4
0.232,46.4
0.071,78.8
0.011,238.3
0.31,45.6
0.293,44.4
0.381,44.3
0.041,107.6
0.05,98.7
0.112,60.9
0.034,99.7
0.349,45.8
0.283,45.9
0.23,52.6
0.102,50.8
0.002,1385.8
0.192,45.6
0.068,88.6
0.419,44.5
0.335,46.1
0.318,45.1
0.073,73.9
0.036,114.2
0.139,59.4
0.183,52.6
0.08,69.3
0.55,45
0.401,44.9
0.199,50.7
0.235,45.5
0.186,46
0.066,64.7
0.17,49.7
0.21,53.2
0.21,49.4
0.203,50.6
0.191,45.3
0.231,46.4
0.139,54.3
0.067,83.8
0.368,45.7
0.224,43.9
0.253,44
0.015,190
0.041,92.5
0.16,52.1
0.154,54.8
0.268,46.3
0.015,189.5
0.236,46.8
0.059,85.1
0.097,73.3
0.341,44.2
0.056,94.2
0.106,66.8
0.367,47.5
0.111,54.4
0.026,135.1
0.437,43.7
0.425,43.7
0.053,96.4
0.086,87.2
0.137,55.2
0.196,49.1
0.166,49.8
0.068,88.3
0.255,43.4
0.228,44.3
0.106,60.9
0.039,122
0.445,43.5
0.04,97.6
0.22,47.7
0.49,46.7
0.445,44.2
0.058,77.6
0.378,45.6
0.29,47.1
0.159,56.8
0.05,44.4
0.286,48.8
0.199,54.3
0.199,41.7
0.445,45.9
0.067,88.7
0.259,48.6
0.207,50.9
0.339,45.4
0.028,97.4
0.182,44.2
0.302,42.6
0.023,179.6
0.007,351.4
0.012,219.2
0.073,47.1
0.131,56
0.338,44.1
0.201,49.9
0.187,47.1
0.052,97
0.298,48.5
0.438,45.7
0.495,42
0.113,51
0.167,59.6
0.037,88.7
0.087,84.1
0.223,44
0.141,48.4
0.174,47.8
0.027,133.4
0.285,52.1
0.273,49.6
0.19,43.1
0.189,45.6
0.139,54.3
0.013,205.6
0.169,45.5
0.288,51
0.094,52.6
0.175,48
0.107,55.5
0.053,96.8
0.349,45
0.27,51.3
0.013,194.9
0.091,54.5
0.266,45.3
0.062,91.1
0.158,51.1
0.131,47.8
0.042,106.2
0.025,138.5
0.181,48.8
0.058,65.6
0.155,54.4
0.181,47.3
0.26,43.8
0.018,168.7
0.13,67.4
0.264,49.4
0.315,44.6
0.234,44.1
0.122,63.2
0.058,47.4
0.164,61
0.287,44.1
0.357,43.2
0.176,54.9
0.264,44.5
0.271,44.8
0.376,41.8
0.325,44.3
0.318,44.2
0.344,44.8
0.426,45
0.207,44.2
0.185,49.7
0.057,77.9
0.164,48.7
0.385,45.4
0.1,79.1
0.148,51.8
0.248,49.5
0.076,85.4
0.007,357.2
0.265,48.6
0.257,44.9
0.291,46.2
0.218,49.5
0.387,45.4
0.354,44.3
0.225,45.6
0.242,42.1
0.187,43.3
0.092,80.8
0.342,44.6
0.076,85.2
0.005,469.8
0.144,51.5
0.081,83.8
0.31,45.2
0.086,71.7
0.183,48.3
0.267,50.2
0.166,45
0.348,46.3
0.254,45.3
0.144,54.1
0.022,149
0.336,44.5
0.271,48.8
0.122,67.9
0.179,53.7
0.035,98.8
0.12,50.6
0.103,73.2
0.066,78.7
0.323,46.4
0.089,45.1
0.109,52.6
0.186,52.7
0.159,51.6
0.021,151.4
0.012,217.2
0.385,45.2
0.094,64.1
0.391,41.2
0.031,123.6
0.217,45.3
0.037,112.2
0.04,108.7
0.234,45.7
0.208,44.7
0.228,50
0.177,50.2
0.085,64.8
0.174,63.7
0.199,47.5
0.175,50.2
0.129,53
0.174,46.2
0.068,67.7
0.044,103.6
0.192,46.7
0.101,55.1
0.213,45.3
0.147,54
0.433,47
0.023,179.2
0.024,141.5
0.386,46.6
0.107,64.5
0.025,115.3
0.335,47.7
0.012,229
0.09,81.3
0.031,100.7
0.133,65.8
0.064,66.7
0.225,50.1
0.13,52.2
0.27,45.3
0.288,47.4
0.211,45.1
0.032,96.6
0.017,176.5
0.193,52.8
0.349,43.7
0.17,57.9
0.22,50.3
0.202,48.9
0.126,44.2
0.407,45.3
0.062,84.3
0.023,83.3
0.154,51.1
0.016,183.6
0.331,42.1
0.02,158.6
0.109,54.3
0.193,47.4
0.269,51.3
0.157,58.3
0.043,84.3
0.206,46
0.215,54.2
0.065,54.2
0.097,51.9
0.091,74.4
0.478,45.1
0.221,52.4
0.144,49.7
0.19,52.4
0.199,47.9
0.03,124.2
0.26,50
0.421,43.4
0.251,44.1
0.141,50.2
0.162,51.5
0.217,53.2
0.14,53.5
0.156,62
0.032,83.2
0.284,45.1
0.262,44.6
0.129,69.5
0.016,180
0.24,45
0.319,43.2
0.206,46.5
0.407,45.6
0.059,70.9
0.027,124.6
0.364,46
0.1,57.1
0.321,47.1
0.356,43.9
0.361,45.5
0.305,45
0.242,48.5
0.071,55.6
0.242,40.2
0.063,90.8
0.358,49.2
0.325,49.1
0.092,80.8
0.224,47.5
0.255,44.4
0.082,62
0.14,48.3
0.101,59.9
0.093,80.7
0.233,44.7
0.322,46
0.158,49.9
0.377,43.1
0.146,53
0.194,48.2
0.242,47.4
0.296,43.8
0.112,52.5
0.096,64.8
0.339,47.4
0.223,45.3
0.01,423.4
0.243,44.8
0.226,47.1
0.548,42.4
0.473,44.4
0.212,47.6
0.092,80.8
0.493,43.6
0.618,42.8
0.442,44.4
0.119,75.9
0.088,72.2
0.01,157.4
0.297,50.9
0.546,43.2
0.061,76.8
0.065,68.8
0.329,51.2
0.274,44.5
0.209,44.1
0.305,51.4
0.307,48.6
0.259,45.3
0.171,46.8
0.331,48
0.333,47
0.087,57.1
0.128,65.2
0.164,49.3
0.26,44.2
0.249,51.9
0.014,200.9
0.07,72.9
0.246,43.9
0.112,47.6
0.043,138.1
0.457,45.6
0.106,45.6
0.143,57.4
0.218,46.5
0.067,63.2
0.135,45.2
0.121,67.2
0.109,58.7
0.379,43.8
0.325,43.9
0.142,55.7
0.11,66.8
0.295,49
0.389,46
0.103,80.5
0.045,95
0.001,1807.6
0.246,49.9
0.112,60
0.047,105.7
0.369,45
0.083,83.2
0.043,105.6
0.102,48.5
0.256,45
0.118,68.2
0.086,82.2
0.03,95.3
0.205,44
0.302,48.1
0.237,51.1
0.241,51.7
0.106,51.5
0.339,44.6
0.346,46
0.161,50.7
0.392,44.1
0.413,44.9
0.212,54.6
0.404,44.4
0.03,124.7
0.29,43.2
0.205,46.5
0.253,45.5
0.285,43.9
0.191,45.8
0.426,46.9
0.015,113.1
0.078,73.2
0.089,53.5
0.227,44.1
0.106,78
0.143,50.4
0.299,41.8
0.239,46.9
0.138,51
0.158,51.8
0.293,47.1
0.057,94.2
0.044,83.8
0.392,47.5
0.195,49.9
0.33,47.8
0.034,164.1
0.312,45.1
0.053,69.4
0.177,56.2
0.141,60.6
0.013,208.6
0.104,60.5
0.199,46.5
0.355,46.9
0.307,47.8
0.256,49.3
0.072,62.7
0.272,44.4
0.024,142.3
0.051,80.3
0.414,45.2
0.372,45.3
0.322,44.5
0.003,451.4
0.014,196.2
0.117,62.1
0.054,62.6
0.196,49.3
0.022,108
0.392,46.7
0.267,50
0.092,80.7
0.137,54.5
0.006,373.3
0.232,45
0.139,55.8
0.177,47
0.245,45.8
0.122,67.6
0.332,47.7
0.372,45.9
0.096,80
0.117,69.2
0.084,82.8
0.259,54.2
0.287,43.8
0.019,163.1
0.075,93.1
0.173,47
0.134,54.4
0.021,150.9
0.166,50.5
0.292,43
0.273,44
0.328,47.2
0.275,48.9
0.332,44.5
0.091,81
0.124,46.9
0.196,46.8
0.123,57.7
0.324,46.3
0.032,93.4
0.142,45.3
0.278,43.3
0.052,105
0.103,54.4
0.257,49.1
0.484,45.1
0.285,43.7
0.153,61.5
0.124,46
0.27,46.2
0.25,46.2
0.177,51.4
0.415,45.9
0.098,45.7
0.357,46.6
0.269,48.3
0.303,44.9
0.179,55
0.168,62.7
0.212,49.9
0.34,48.4
0.398,46.3
0.212,49.5
0.066,77
0.046,88.4
0.27,45.2
0.344,49.4
0.131,56.1
0.023,144.9
0.22,43.8
0.055,68.7
0.085,82.5
0.353,44.5
0.237,46.1
0.28,48.5
0.197,56.4
0.462,44.2
0.073,78.4
0.215,45.9
0.31,43.9
0.065,89.8
0.357,45.2
0.173,45.5
0.016,115.8
0.236,46.5
0.261,46.9
0.045,84.2
0.086,61
0.066,89
0.188,52.4
0.315,48.4
0.291,50
0.106,78
0.182,47.4
0.156,45.8
0.158,49.2
0.042,84.7
0.117,60.2
0.028,129.6
0.027,195.5
0.116,62.8
0.276,46.2
0.183,59.7
0.076,61.4
0.022,146.7
0.365,44.2
0.123,53.5
0.247,50.7
0.244,44.6
0.03,105
0.136,46.4
0.304,49.4
0.25,49.6
0.224,47.1
0.061,91.7
0.329,46.9
0.265,46.4
0.084,58.7
0.265,44.6
0.169,47.8
0.102,46.5
0.051,86.4
0.108,74.8
0.167,53.2
0.282,45.8
0.2,46.2
0.102,55
0.04,102.5
0.156,51.4
0.035,115.8
0.164,45.5
0.336,46.3
0.005,423.3
0.092,52.7
0.073,86.6
0.297,48.9
0.303,45.4
0.128,68.3
0.058,93.1
0.065,93.3
0.343,43.3
0.042,86.9
0.467,38.8
0.211,48.8
0.298,44.3
0.054,71.9
0.169,50.4
0.04,108.8
0.271,51.3
0.142,51.1
0.308,49.7
0.248,45.1
0.37,44.9
0.219,44.9
0.161,59.8
0.144,64.4
0.132,48.4
0.032,92.8
0.226,50.4
0.356,45.6
0.194,45.2
0.085,75.3
0.166,53.9
0.198,53.4
0.341,46.8
0.173,42.9
0.178,50.4
0.138,59.8
0.229,44.1
0.304,45.9
0.076,52.4
0.114,47.1
0.213,44.8
0.159,44.6
0.028,128.9
0.444,41.9
0.465,43.8
0.005,474.5
0.101,53.9
0.448,44.8
0.239,50.6
0.08,84.1
0.134,46.7
0.419,45.4
0.314,46
0.118,45.8
0.021,187.5
0.418,44.9
0.198,56.6
0.288,50.2
0.156,46.4
0.203,54.4
0.014,197.5
0.047,101.6
