"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"251",25,67.17,60.70925,79.411,76.57,70.6695,80.26
"252",25.1,67.235,60.739,79.5715,76.64,70.7095,80.35
"253",25.2,67.305,60.76875,79.74125,76.705,70.7395,80.43
"254",25.3,67.365,60.789,79.911,76.785,70.7795,80.51025
"255",25.4,67.43,60.81875,80.08075,76.87,70.80975,80.6005
"256",25.5,67.5,60.8485,80.2505,76.94,70.83975,80.69075
"257",25.6,67.565,60.86875,80.43025,77.01,70.87975,80.77125
"258",25.7,67.63,60.88875,80.591,77.085,70.9,80.85175
"259",25.8,67.69,60.90875,80.7615,77.15,70.94,80.942
"260",25.9,67.755,60.929,80.922,77.225,70.97,81.0225
"261",26,67.82,60.949,81.0925,77.3,71,81.11275
"262",26.1,67.875,60.95925,81.263,77.36,71.03,81.2225
"263",26.2,67.93,60.97925,81.42375,77.42,71.06,81.32225
"264",26.3,67.99,60.99925,81.59425,77.475,71.08975,81.4315
"265",26.4,68.045,61.0195,81.78425,77.53,71.10975,81.53125
"266",26.5,68.1,61.0395,81.984,77.595,71.13,81.631
"267",26.6,68.165,61.05,82.17375,77.65,71.1695,81.74025
"268",26.7,68.225,61.07975,82.36375,77.71,71.20925,81.8405
"269",26.8,68.29,61.09975,82.563,77.77,71.239,81.941
"270",26.9,68.36,61.1295,82.7525,77.835,71.26875,82.04125
"271",27,68.43,61.1395,82.942,77.9,71.289,82.14125
"272",27.1,68.485,61.1595,83.141,77.955,71.31875,82.241
"273",27.2,68.54,61.16975,83.3305,78.025,71.3485,82.34075
"274",27.3,68.595,61.1895,83.5105,78.08,71.3685,82.44075
"275",27.4,68.645,61.19975,83.681,78.135,71.39825,82.5405
"276",27.5,68.7,61.21975,83.8515,78.2,71.42825,82.64025
"277",27.6,68.755,61.23,84.01225,78.265,71.44825,82.74025
"278",27.7,68.815,61.25,84.183,78.33,71.478,82.83075
"279",27.8,68.88,61.27975,84.34375,78.385,71.498,82.93075
"280",27.9,68.94,61.2995,84.5045,78.435,71.52775,83.0305
"281",28,68.995,61.3195,84.67525,78.505,71.54775,83.12025
"282",28.1,69.05,61.3395,84.836,78.575,71.5775,83.22
"283",28.2,69.105,61.369,85.0065,78.635,71.5975,83.31
"284",28.3,69.16,61.389,85.1675,78.7,71.6175,83.39025
"285",28.4,69.21,61.409,85.32825,78.765,71.64725,83.4805
"286",28.5,69.265,61.42875,85.49875,78.83,71.66725,83.56075
"287",28.6,69.32,61.44875,85.66925,78.89,71.687,83.65075
"288",28.7,69.375,61.46875,85.84975,78.95,71.71675,83.7305
"289",28.8,69.42,61.4885,86.03,79.005,71.73675,83.81025
"290",28.9,69.48,61.5085,86.21025,79.065,71.75675,83.87075
"291",29,69.54,61.52825,86.3905,79.11,71.77675,83.95075
"292",29.1,69.595,61.54825,86.571,79.165,71.7965,84.0405
"293",29.2,69.64,61.568,86.751,79.22,71.8165,84.1205
"294",29.3,69.685,61.588,86.941,79.275,71.84625,84.2
"295",29.4,69.73,61.60775,87.13075,79.33,71.86625,84.28025
"296",29.5,69.775,61.62775,87.32075,79.375,71.8865,84.36075
"297",29.6,69.825,61.6475,87.51075,79.43,71.9065,84.4505
"298",29.7,69.88,61.6675,87.69975,79.48,71.9265,84.53025
"299",29.8,69.93,61.6775,87.889,79.53,71.9465,84.61025
"300",29.9,69.975,61.69725,88.078,79.58,71.9665,84.6805
"301",30,70.025,61.71725,88.267,79.63,71.977,84.7605
"302",30.1,70.07,61.737,88.45625,79.68,71.997,84.8405
"303",30.2,70.125,61.75675,88.64525,79.725,72.017,84.92
"304",30.3,70.175,61.767,88.83425,79.765,72.037,84.97075
"305",30.4,70.22,61.78675,89.02325,79.805,72.057,85.02125
"306",30.5,70.27,61.8065,89.2025,79.85,72.077,85.072
"307",30.6,70.32,61.81675,89.3915,79.895,72.097,85.12275
"308",30.7,70.37,61.8365,89.5805,79.945,72.10725,85.17325
"309",30.8,70.42,61.85625,89.77,80,72.12725,85.224
"310",30.9,70.46,61.86625,89.96,80.04,72.14725,85.2745
"311",31,70.505,61.88625,90.15,80.08,72.1575,85.325
"312",31.1,70.545,61.89625,90.34,80.13,72.1775,85.37575
"313",31.2,70.59,61.916,90.53,80.17,72.1975,85.4555
"314",31.3,70.63,61.926,90.71,80.215,72.20775,85.53525
"315",31.4,70.67,61.936,90.9,80.255,72.22775,85.61525
"316",31.5,70.71,61.946,91.09,80.295,72.2475,85.695
"317",31.6,70.75,61.96575,91.28,80.33,72.25775,85.765
"318",31.7,70.79,61.976,91.47,80.37,72.27775,85.84475
"319",31.8,70.83,61.986,91.66,80.41,72.288,85.9245
"320",31.9,70.87,62.00575,91.85,80.46,72.308,85.9945
"321",32,70.905,62.01575,92.03,80.505,72.318,86.07425
"322",32.1,70.945,62.02575,92.22,80.55,72.338,86.14425
"323",32.2,70.98,62.03575,92.41,80.595,72.34825,86.224
"324",32.3,71.02,62.04575,92.59025,80.64,72.35825,86.29375
"325",32.4,71.055,62.0655,92.751,80.68,72.3685,86.3735
"326",32.5,71.1,62.0755,92.92125,80.715,72.37875,86.4435
"327",32.6,71.14,62.0855,93.082,80.75,72.38875,86.513
"328",32.7,71.175,62.0955,93.2525,80.785,72.399,86.5925
"329",32.8,71.215,62.1055,93.41325,80.825,72.409,86.66225
"330",32.9,71.255,62.1155,93.574,80.865,72.41925,86.732
"331",33,71.295,62.1255,93.744,80.905,72.4295,86.81125
"332",33.1,71.335,62.1355,93.90375,80.94,72.4395,86.89075
"333",33.2,71.375,62.1455,94.06375,80.98,72.44,86.9605
"334",33.3,71.41,62.1555,94.2335,81.01,72.45,87.03025
"335",33.4,71.45,62.1655,94.39325,81.04,72.46975,87.09075
"336",33.5,71.49,62.185,94.55325,81.075,72.47975,87.16075
"337",33.6,71.525,62.195,94.72275,81.105,72.49,87.231
"338",33.7,71.565,62.205,94.88275,81.14,72.50975,87.29125
"339",33.8,71.595,62.215,95.0425,81.17,72.51975,87.38075
"340",33.9,71.635,62.225,95.2025,81.21,72.53975,87.4605
"341",34,71.665,62.235,95.36225,81.24,72.54975,87.54025
"342",34.1,71.7,62.23525,95.52225,81.28,72.56,87.6005
"343",34.2,71.735,62.245,95.69175,81.32,72.57975,87.6605
"344",34.3,71.77,62.255,95.8515,81.36,72.58975,87.72
"345",34.4,71.81,62.265,96.0115,81.41,72.6,87.77025
"346",34.5,71.845,62.275,96.181,81.45,72.61975,87.83025
"347",34.6,71.88,62.285,96.3505,81.49,72.62975,87.9
"348",34.7,71.92,62.29475,96.53,81.52,72.64,87.95025
"349",34.8,71.955,62.30475,96.6805,81.54,72.65,88.0105
"350",34.9,71.99,62.31475,96.83125,81.57,72.66975,88.0705
"351",35,72.025,62.32475,96.98175,81.6,72.67975,88.13075
"352",35.1,72.055,62.3345,97.13225,81.625,72.69,88.1905
"353",35.2,72.085,62.33475,97.29275,81.66,72.7,88.24075
"354",35.3,72.115,62.34475,97.453,81.695,72.71975,88.30075
"355",35.4,72.145,62.3545,97.60375,81.72,72.72975,88.3705
"356",35.5,72.18,62.3645,97.764,81.745,72.73975,88.44
"357",35.6,72.21,62.3745,97.9245,81.765,72.75,88.5
"358",35.7,72.24,62.37475,98.08475,81.795,72.76,88.56025
"359",35.8,72.27,62.3845,98.245,81.83,72.77,88.61025
"360",35.9,72.3,62.3945,98.4055,81.86,72.78,88.66025
"361",36,72.33,62.4045,98.556,81.895,72.79975,88.71025
"362",36.1,72.36,62.41425,98.71625,81.93,72.80975,88.7505
"363",36.2,72.395,62.4145,98.87675,81.96,72.81975,88.79075
"364",36.3,72.425,62.42425,99.037,82,72.82975,88.8505
"365",36.4,72.46,62.43425,99.1875,82.03,72.83975,88.92
"366",36.5,72.49,62.44425,99.348,82.06,72.84975,88.9605
"367",36.6,72.52,62.44425,99.50825,82.085,72.85,89.011
"368",36.7,72.545,62.45425,99.65875,82.12,72.86,89.061
"369",36.8,72.57,62.464,99.819,82.15,72.87,89.111
"370",36.9,72.6,62.46425,99.96975,82.175,72.88,89.161
"371",37,72.63,62.47425,100.13,82.205,72.89,89.21125
"372",37.1,72.655,62.484,100.2805,82.23,72.9,89.26125
"373",37.2,72.685,62.48425,100.44075,82.255,72.9,89.31125
"374",37.3,72.71,62.494,100.5915,82.275,72.91,89.36125
"375",37.4,72.74,62.504,100.75175,82.3,72.92,89.41125
"376",37.5,72.77,62.504,100.90225,82.32,72.93,89.461
"377",37.6,72.8,62.514,101.0625,82.34,72.94,89.511
"378",37.7,72.825,62.524,101.213,82.365,72.94,89.561
"379",37.8,72.855,62.524,101.3735,82.39,72.95,89.611
"380",37.9,72.89,62.534,101.524,82.41,72.96,89.66075
"381",38,72.92,62.54375,101.674,82.43,72.97,89.7205
"382",38.1,72.95,62.544,101.834,82.45,72.97,89.78
"383",38.2,72.98,62.55375,101.98425,82.475,72.98,89.83025
"384",38.3,73.01,62.554,102.13425,82.495,72.99,89.87075
"385",38.4,73.045,62.56375,102.29425,82.52,72.99,89.92075
"386",38.5,73.075,62.57375,102.44425,82.54,73,89.96075
"387",38.6,73.105,62.57375,102.5945,82.56,73.01,90.0105
"388",38.7,73.135,62.58375,102.74475,82.585,73.01,90.05025
"389",38.8,73.165,62.58375,102.9045,82.605,73.02,90.1
"390",38.9,73.195,62.5935,103.05475,82.625,73.03,90.14
"391",39,73.22,62.59375,103.20475,82.65,73.03,90.17025
"392",39.1,73.25,62.6035,103.35475,82.67,73.04,90.22025
"393",39.2,73.28,62.6135,103.505,82.69,73.05,90.26025
"394",39.3,73.31,62.6135,103.68425,82.715,73.05,90.31
"395",39.4,73.335,62.6235,103.854,82.735,73.06,90.35
"396",39.5,73.365,62.6235,104.0235,82.75,73.06,90.4
"397",39.6,73.395,62.6335,104.20275,82.77,73.07,90.44
"398",39.7,73.415,62.6335,104.3725,82.795,73.08,90.48
"399",39.8,73.445,62.64325,104.542,82.82,73.08,90.52025
"400",39.9,73.475,62.6435,104.7115,82.84,73.09,90.56025
"401",40,73.5,62.65325,104.891,82.865,73.09,90.60025
"402",40.1,73.525,62.6535,105.0605,82.89,73.1,90.6405
"403",40.2,73.555,62.66325,105.23,82.905,73.11,90.6805
"404",40.3,73.585,62.66325,105.4095,82.92,73.11,90.73025
"405",40.4,73.605,62.67325,105.579,82.94,73.12,90.77025
"406",40.5,73.635,62.67325,105.7485,82.965,73.12,90.82
"407",40.6,73.665,62.6735,105.918,82.98,73.13,90.86
"408",40.7,73.685,62.68325,106.09725,83,73.13,90.9
"409",40.8,73.715,62.68325,106.267,83.02,73.14,90.95
"410",40.9,73.74,62.69325,106.4365,83.04,73.14,90.99
"411",41,73.76,62.69325,106.606,83.06,73.15,91.03025
"412",41.1,73.785,62.703,106.78525,83.08,73.15,91.07025
"413",41.2,73.805,62.70325,106.95475,83.1,73.16,91.11025
"414",41.3,73.83,62.713,107.12425,83.12,73.16,91.15025
"415",41.4,73.85,62.713,107.29375,83.145,73.17,91.1905
"416",41.5,73.875,62.71325,107.46325,83.165,73.17,91.22075
"417",41.6,73.9,62.72325,107.6425,83.19,73.18,91.26075
"418",41.7,73.92,62.72325,107.812,83.205,73.18,91.30075
"419",41.8,73.945,62.73325,107.9815,83.225,73.19,91.34075
"420",41.9,73.97,62.73325,108.151,83.24,73.19,91.381
"421",42,73.99,62.7335,108.3205,83.255,73.2,91.421
"422",42.1,74.02,62.74325,108.49,83.275,73.2,91.45125
"423",42.2,74.04,62.7435,108.6405,83.295,73.2,91.49125
"424",42.3,74.065,62.7535,108.79125,83.315,73.21,91.53125
"425",42.4,74.085,62.7535,108.94175,83.335,73.21,91.57125
"426",42.5,74.105,62.75375,109.0825,83.36,73.22,91.6015
"427",42.6,74.13,62.7635,109.233,83.38,73.22,91.6415
"428",42.7,74.15,62.76375,109.3835,83.4,73.23,91.6815
"429",42.8,74.165,62.76375,109.534,83.42,73.23,91.73125
"430",42.9,74.185,62.77375,109.6845,83.44,73.23,91.781
"431",43,74.205,62.77375,109.82525,83.46,73.24,91.83075
"432",43.1,74.225,62.774,109.97575,83.47,73.24,91.88025
"433",43.2,74.245,62.78375,110.12625,83.49,73.25,91.93
"434",43.3,74.27,62.784,110.27675,83.515,73.25,91.97
"435",43.4,74.29,62.784,110.43725,83.53,73.25,92.01025
"436",43.5,74.31,62.794,110.60725,83.545,73.26,92.05
"437",43.6,74.33,62.794,110.7675,83.55,73.26,92.08025
"438",43.7,74.35,62.79425,110.9375,83.565,73.26,92.12
"439",43.8,74.365,62.804,111.09775,83.58,73.27,92.16
"440",43.9,74.385,62.80425,111.26775,83.595,73.27,92.19025
"441",44,74.405,62.80425,111.428,83.61,73.28,92.22025
"442",44.1,74.425,62.814,111.598,83.625,73.28,92.26025
"443",44.2,74.445,62.81425,111.75825,83.64,73.28,92.29025
"444",44.3,74.46,62.81425,111.92825,83.655,73.29,92.33025
"445",44.4,74.48,62.82425,112.0885,83.67,73.29,92.3605
"446",44.5,74.5,62.82425,112.2585,83.69,73.29,92.3905
"447",44.6,74.52,62.8245,112.41875,83.705,73.3,92.43025
"448",44.7,74.535,62.8245,112.58875,83.72,73.3,92.47
"449",44.8,74.55,62.8345,112.74875,83.735,73.3,92.4905
"450",44.9,74.57,62.8345,112.91875,83.755,73.31,92.52075
"451",45,74.59,62.8345,113.079,83.775,73.31,92.5605
"452",45.1,74.605,62.8445,113.24825,83.795,73.31,92.59075
"453",45.2,74.625,62.8445,113.4075,83.815,73.31,92.621
"454",45.3,74.645,62.84475,113.57675,83.83,73.32,92.66075
"455",45.4,74.655,62.84475,113.736,83.845,73.32,92.69075
"456",45.5,74.675,62.8545,113.8955,83.86,73.32,92.73075
"457",45.6,74.685,62.85475,114.0645,83.87,73.33,92.76075
"458",45.7,74.705,62.85475,114.224,83.885,73.33,92.8005
"459",45.8,74.72,62.855,114.393,83.9,73.33,92.83075
"460",45.9,74.735,62.86475,114.5525,83.915,73.34,92.8705
"461",46,74.75,62.86475,114.71175,83.925,73.34,92.9005
"462",46.1,74.765,62.865,114.881,83.935,73.34,92.93075
"463",46.2,74.78,62.865,115.04025,83.955,73.34,92.9705
"464",46.3,74.79,62.87475,115.1805,83.965,73.35,93.0005
"465",46.4,74.81,62.875,115.32125,83.975,73.35,93.0305
"466",46.5,74.825,62.875,115.452,83.985,73.35,93.07025
"467",46.6,74.84,62.875,115.58275,83.995,73.35,93.1005
"468",46.7,74.855,62.885,115.71375,84.005,73.36,93.1305
"469",46.8,74.865,62.885,115.85425,84.015,73.36,93.17025
"470",46.9,74.885,62.885,115.985,84.025,73.36,93.20025
"471",47,74.895,62.88525,116.116,84.035,73.36,93.23025
"472",47.1,74.91,62.88525,116.24675,84.045,73.37,93.26025
"473",47.2,74.925,62.89525,116.3775,84.06,73.37,93.29025
"474",47.3,74.935,62.89525,116.50825,84.07,73.37,93.33
"475",47.4,74.95,62.89525,116.649,84.085,73.37,93.36
"476",47.5,74.965,62.89525,116.77975,84.095,73.38,93.39
"477",47.6,74.98,62.8955,116.9105,84.11,73.38,93.42
"478",47.7,74.99,62.90525,117.04125,84.12,73.38,93.45
"479",47.8,75.005,62.90525,117.17225,84.135,73.38,93.48
"480",47.9,75.02,62.9055,117.303,84.145,73.39,93.51
"481",48,75.03,62.9055,117.43375,84.16,73.39,93.54
"482",48.1,75.045,62.9055,117.5645,84.17,73.39,93.57
"483",48.2,75.06,62.9155,117.69525,84.185,73.39,93.6
"484",48.3,75.07,62.9155,117.82625,84.195,73.39,93.63
"485",48.4,75.085,62.9155,117.957,84.21,73.4,93.66
"486",48.5,75.095,62.91575,118.08775,84.215,73.4,93.69
"487",48.6,75.11,62.91575,118.20875,84.23,73.4,93.71025
"488",48.7,75.125,62.9255,118.3395,84.245,73.4,93.74025
"489",48.8,75.135,62.9255,118.47025,84.26,73.4,93.77025
"490",48.9,75.15,62.92575,118.60125,84.275,73.41,93.80025
"491",49,75.165,62.92575,118.732,84.295,73.41,93.83025
"492",49.1,75.175,62.92575,118.88225,84.305,73.41,93.8505
"493",49.2,75.19,62.92575,119.04225,84.32,73.41,93.8805
"494",49.3,75.2,62.93575,119.20225,84.33,73.41,93.91025
"495",49.4,75.215,62.93575,119.372,84.34,73.42,93.9305
"496",49.5,75.225,62.93575,119.532,84.35,73.42,93.9605
"497",49.6,75.24,62.936,119.692,84.36,73.42,93.9905
"498",49.7,75.25,62.936,119.852,84.37,73.42,94.01075
"499",49.8,75.26,62.936,120.012,84.375,73.42,94.0405
"500",49.9,75.275,62.94575,120.172,84.39,73.42,94.0705
"501",50,75.285,62.946,120.3315,84.4,73.43,94.09075
