"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.19.18..19.74..20.275..20.8..21.325..21.87..22.385..22.895..","c.4.386..5.78..7.27..8.65925..10.0865..11.444..12.48875..13.616..","c.28.0505..28.29025..28.52025..28.76025..28.9705..29.2005..29.4305..","c.27.445..27.705..27.98..28.23..28.48..28.72..28.98..29.23..29.49..","c.18.67775..19.22..19.84..20.44875..21.0475..21.63625..22.098..","c.31.47125..31.66125..31.85125..32.051..32.25075..32.45025..32.65..","c.23.795..24.22..24.645..25.06..25.47..25.88..26.28..26.645..","c..0.23125..0.9675..2.13625..3.2755..4.4045..5.5035..6.58275..","c.34.67375..34.84325..35.00325..35.163..35.3425..35.54125..35.74025.."
"246",24.5,57.045,46.04,75.71025,72.845,57.23875,82.09,63.78,58.06,74.89675
"247",24.6,57.065,46.04,75.8405,72.955,57.249,82.3,63.82,58.07,75.03675
"248",24.7,57.08,46.04,75.97075,73.06,57.24925,82.5,63.86,58.08,75.16675
"249",24.8,57.1,46.04,76.1205,73.17,57.25925,82.7,63.905,58.09,75.297
"250",24.9,57.115,46.04,76.2605,73.29,57.26925,82.91,63.95,58.1,75.43675
"251",25,57.125,46.04,76.41025,73.415,57.2695,83.11,63.995,58.1,75.56675
"252",25.1,57.145,46.04,76.57,73.54,57.2795,83.31,64.04,58.11,75.697
"253",25.2,57.155,46.04,76.71075,73.655,57.2895,83.52,64.085,58.12,75.83675
"254",25.3,57.17,46.04,76.85125,73.77,57.28975,83.72,64.12,58.13,75.96675
"255",25.4,57.185,46.04,76.992,73.885,57.29975,83.92,64.155,58.14,76.09675
"256",25.5,57.195,46.04,77.13275,74,57.31,84.13,64.195,58.15,76.227
"257",25.6,57.205,46.04,77.27325,74.11,57.32,84.33,64.23,58.15,76.357
"258",25.7,57.25,46.04,77.40425,74.22,57.33,84.53,64.27,58.16,76.487
"259",25.8,57.265,46.04,77.54475,74.325,57.34,84.74,64.31,58.17,76.617
"260",25.9,57.285,46.04,77.695,74.44,57.35,84.95,64.365,58.18,76.747
"261",26,57.295,46.04,77.865,74.545,57.35,85.15,64.41,58.18,76.877
"262",26.1,57.31,46.04,78.025,74.655,57.36,85.36,64.445,58.19,77.007
"263",26.2,57.34,46.04,78.19425,74.76,57.37975,85.56,64.48,58.2,77.137
"264",26.3,57.37,46.04,78.35375,74.88,57.38975,85.75,64.52,58.2,77.267
"265",26.4,57.385,46.04,78.52325,74.99,57.4095,85.94,64.565,58.21,77.397
"266",26.5,57.4,46.04,78.68275,75.105,57.4195,86.14,64.6,58.22,77.527
"267",26.6,57.42,46.04,78.852,75.23,57.4295,86.34,64.64,58.22,77.64725
"268",26.7,57.435,46.04,79.0115,75.35,57.44925,86.54,64.68,58.23,77.777
"269",26.8,57.45,46.04,79.18075,75.465,57.45925,86.75,64.72,58.24,77.907
"270",26.9,57.46,46.04,79.34025,75.59,57.469,86.95,64.745,58.24,78.02725
"271",27,57.46,46.04,79.50025,75.72,57.48875,87.15,64.775,58.25,78.157
"272",27.1,57.47,46.04,79.6405,75.81,57.49875,87.35,64.8,58.26,78.287
"273",27.2,57.48,46.04,79.7805,75.945,57.50875,87.55,64.83,58.26,78.417
"274",27.3,57.49,46.04,79.9205,76.07,57.51875,87.75,64.86,58.27,78.5565
"275",27.4,57.49,46.04,80.0605,76.19,57.5385,87.95,64.9,58.27,78.706
"276",27.5,57.5,46.04,80.19075,76.305,57.5485,88.15,64.95,58.28,78.8455
"277",27.6,57.51,46.04,80.33075,76.425,57.5585,88.34,64.99,58.28,78.98525
"278",27.7,57.51,46.04,80.47075,76.53,57.5685,88.54,65.03,58.29,79.1345
"279",27.8,57.52,46.04,80.61075,76.62,57.5785,88.74,65.065,58.29,79.27425
"280",27.9,57.54,46.04,80.75075,76.7,57.5885,88.94,65.095,58.3,79.41375
"281",28,57.555,46.04,80.881,76.79,57.5985,89.14,65.13,58.3,79.563
"282",28.1,57.565,46.04,81.021,76.87,57.61825,89.34,65.165,58.31,79.70275
"283",28.2,57.565,46.04,81.161,76.95,57.62825,89.54,65.2,58.31,79.84225
"284",28.3,57.575,46.04,81.291,77.04,57.63825,89.74,65.235,58.32,79.98175
"285",28.4,57.585,46.04,81.431,77.155,57.64825,89.93,65.265,58.32,80.12125
"286",28.5,57.59,46.04,81.571,77.285,57.65825,90.13,65.29,58.33,80.27025
"287",28.6,57.6,46.04,81.70125,77.42,57.66825,90.33,65.315,58.33,80.3905
"288",28.7,57.61,46.04,81.841,77.545,57.67825,90.53,65.35,58.34,80.53025
"289",28.8,57.625,46.04,81.97125,77.68,57.68825,90.73,65.385,58.34,80.6605
"290",28.9,57.635,46.04,82.111,77.79,57.69825,90.92025,65.415,58.34,80.781
"291",29,57.645,46.04,82.24125,77.895,57.70825,91.12025,65.455,58.35,80.931
"292",29.1,57.655,46.04,82.37125,77.995,57.71825,91.32,65.495,58.35,81.071
"293",29.2,57.665,46.04,82.51125,78.1,57.728,91.51,65.53,58.36,81.22075
"294",29.3,57.665,46.04,82.64125,78.2,57.738,91.71,65.55,58.36,81.3705
"295",29.4,57.675,46.04,82.7715,78.31,57.748,91.91,65.575,58.36,81.5105
"296",29.5,57.68,46.04,82.91125,78.415,57.758,92.1,65.6,58.37,81.66
"297",29.6,57.685,46.04,83.051,78.535,57.75825,92.3,65.64,58.37,81.7705
"298",29.7,57.69,46.04,83.2105,78.655,57.76825,92.5,65.675,58.38,81.87075
"299",29.8,57.695,46.04,83.36025,78.77,57.778,92.69,65.7,58.38,81.971
"300",29.9,57.7,46.04,83.49075,78.89,57.788,92.89,65.725,58.38,82.081
"301",30,57.71,46.04,83.63125,79.005,57.798,93.09,65.75,58.39,82.2105
"302",30.1,57.71,46.04,83.762,79.11,57.808,93.28,65.775,58.39,82.34025
"303",30.2,57.72,46.04,83.89275,79.215,57.81775,93.48,65.8,58.4,82.451
"304",30.3,57.73,46.04,84.02325,79.315,57.818,93.67,65.83,58.4,82.552
"305",30.4,57.74,46.04,84.16375,79.41,57.828,93.87,65.85,58.41,82.66275
"306",30.5,57.745,46.04,84.30425,79.515,57.83775,94.06,65.87,58.41,82.7735
"307",30.6,57.75,46.04,84.45425,79.62,57.84775,94.26,65.895,58.42,82.87425
"308",30.7,57.755,46.04,84.6045,79.735,57.848,94.45,65.93,58.42,82.984
"309",30.8,57.76,46.04,84.75475,79.845,57.85775,94.65,65.955,58.43,83.08425
"310",30.9,57.765,46.04,84.895,79.935,57.86775,94.84,65.98,58.43,83.19425
"311",31,57.77,46.04,85.04525,80.04,57.87775,95.04,66,58.44,83.29425
"312",31.1,57.78,46.04,85.19525,80.13,57.87775,95.23,66.03,58.45,83.40425
"313",31.2,57.785,46.04,85.33575,80.23,57.88775,95.42,66.05,58.45,83.50425
"314",31.3,57.795,46.04,85.48575,80.34,57.89775,95.62,66.075,58.45,83.61425
"315",31.4,57.81,46.04,85.62625,80.46,57.9075,95.81,66.095,58.46,83.71425
"316",31.5,57.82,46.04,85.77625,80.57,57.90775,96.01,66.125,58.46,83.8145
"317",31.6,57.825,46.04,85.91675,80.68,57.91775,96.2,66.145,58.47,83.92425
"318",31.7,57.835,46.04,86.06675,80.8,57.9275,96.39,66.17,58.47,84.02425
"319",31.8,57.845,46.04,86.20725,80.91,57.92775,96.59,66.19,58.48,84.13425
"320",31.9,57.855,46.04,86.35725,81.02,57.9375,96.78,66.22,58.48,84.244
"321",32,57.865,46.04,86.49775,81.14,57.9475,96.97,66.25,58.49,84.35375
"322",32.1,57.865,46.04,86.66725,81.25,57.9475,97.16,66.28,58.49,84.46375
"323",32.2,57.875,46.04,86.83675,81.36,57.9575,97.36,66.31,58.5,84.5735
"324",32.3,57.88,46.04,86.99475,81.48,57.96725,97.55,66.33,58.5,84.68325
"325",32.4,57.89,46.04,87.16225,81.585,57.9675,97.74,66.36,58.5,84.793
"326",32.5,57.895,46.04,87.3105,81.69,57.9775,97.93,66.385,58.51,84.90275
"327",32.6,57.9,46.04,87.383,81.79,57.9775,98.13,66.395,58.51,85.0125
"328",32.7,57.905,46.04,87.50425,81.885,57.9875,98.32,66.41,58.51975,85.12225
"329",32.8,57.915,46.04,87.645,81.98,57.99725,98.51,66.435,58.51975,85.232
"330",32.9,57.915,46.04,87.7855,82.075,57.9975,98.7,66.45,58.51975,85.36125
"331",33,57.925,46.04,87.92625,82.16,58.00725,98.89,66.475,58.52,85.4905
"332",33.1,57.93,46.04,88.07675,82.245,58.0075,99.08,66.495,58.52,85.61
"333",33.2,57.93,46.04,88.2175,82.33,58.01725,99.28,66.52,58.52,85.71075
"334",33.3,57.94,46.04,88.3575,82.42,58.01725,99.47,66.54,58.52975,85.80175
"335",33.4,57.945,46.04,88.497,82.52,58.02725,99.66,66.55,58.52975,85.9025
"336",33.5,57.95,46.04,88.6365,82.59,58.02725,99.84025,66.57,58.52975,86.00325
"337",33.6,57.955,46.04,88.776,82.67,58.03725,100.03025,66.58,58.53,86.10375
"338",33.7,57.965,46.04,88.9155,82.75,58.03725,100.22025,66.595,58.53,86.19475
"339",33.8,57.97,46.04,89.055,82.82,58.04725,100.41025,66.61,58.53,86.2955
"340",33.9,57.975,46.04,89.1945,82.925,58.04725,100.61,66.635,58.53,86.406
"341",34,57.985,46.04,89.334,83.035,58.05725,100.81,66.66,58.53,86.5065
"342",34.1,57.99,46.04,89.4735,83.14,58.05725,101.01,66.68,58.53,86.617
"343",34.2,57.995,46.04,89.613,83.235,58.067,101.2,66.705,58.54,86.71775
"344",34.3,58,46.04,89.7525,83.32,58.06725,101.4,66.72,58.54,86.828
"345",34.4,58.005,46.04,89.892,83.4,58.077,101.6,66.74,58.54,86.92875
"346",34.5,58.015,46.04,90.0315,83.48,58.07725,101.8,66.755,58.54,87.02925
"347",34.6,58.02,46.04,90.171,83.58,58.07725,101.99,66.775,58.54,87.13975
"348",34.7,58.025,46.04,90.31025,83.685,58.087,102.19,66.79,58.54,87.2405
"349",34.8,58.03,46.04,90.44,83.78,58.08725,102.39,66.805,58.54,87.341
"350",34.9,58.035,46.04,90.5605,83.86,58.08725,102.59,66.82,58.54,87.44175
"351",35,58.04,46.04,90.681,83.94,58.08725,102.79,66.83,58.54975,87.552
"352",35.1,58.04,46.04,90.79175,84.025,58.09725,102.99,66.84,58.54975,87.65275
"353",35.2,58.045,46.04,90.91175,84.105,58.09725,103.19,66.855,58.55,87.75325
"354",35.3,58.045,46.04,91.022,84.19,58.0975,103.39,66.87,58.55,87.854
"355",35.4,58.055,46.04,91.14175,84.265,58.0975,103.59,66.88,58.55,87.9545
"356",35.5,58.06,46.04,91.26175,84.35,58.0975,103.79,66.9,58.55,88.05525
"357",35.6,58.06,46.04,91.37175,84.43,58.1075,103.99,66.915,58.55,88.15575
"358",35.7,58.065,46.04,91.49175,84.51,58.1075,104.19,66.93,58.55,88.25625
"359",35.8,58.065,46.04,91.60175,84.595,58.1075,104.39,66.945,58.55975,88.357
"360",35.9,58.07,46.04,91.72175,84.67,58.10775,104.59,66.965,58.55975,88.4575
"361",36,58.075,46.04,91.83175,84.735,58.10775,104.79,66.975,58.55975,88.558
"362",36.1,58.08,46.04,91.942,84.805,58.1175,104.99,66.99,58.55975,88.65875
"363",36.2,58.08,46.04,92.06175,84.875,58.1175,105.19,67.005,58.55975,88.75925
"364",36.3,58.08,46.04,92.17175,84.945,58.11775,105.39,67.025,58.55975,88.85975
"365",36.4,58.09,46.04,92.282,85.02,58.11775,105.59,67.04,58.55975,88.95075
"366",36.5,58.09,46.04,92.392,85.09,58.11775,105.79,67.055,58.56,89.05125
"367",36.6,58.1,46.04,92.51175,85.16,58.12775,105.98,67.07,58.56,89.15175
"368",36.7,58.105,46.04,92.622,85.235,58.12775,106.18,67.085,58.56,89.25225
"369",36.8,58.11,46.04,92.732,85.3,58.12775,106.38,67.1,58.56975,89.34325
"370",36.9,58.115,46.04,92.842,85.365,58.128,106.58,67.12,58.56975,89.44375
"371",37,58.12,46.04,92.952,85.465,58.128,106.78,67.14,58.56975,89.54425
"372",37.1,58.125,46.04,93.062,85.555,58.128,106.98,67.155,58.56975,89.635
"373",37.2,58.13,46.04,93.182,85.64,58.13775,107.17,67.18,58.56975,89.7355
"374",37.3,58.135,46.04,93.292,85.74,58.138,107.36,67.195,58.56975,89.836
"375",37.4,58.14,46.04,93.402,85.825,58.138,107.54,67.21,58.56975,89.956
"376",37.5,58.145,46.04,93.512,85.91,58.138,107.7205,67.23,58.56975,90.07625
"377",37.6,58.15,46.04,93.61225,85.995,58.138,107.91075,67.245,58.56975,90.19625
"378",37.7,58.155,46.04,93.72225,86.08,58.13825,108.09125,67.255,58.56975,90.31625
"379",37.8,58.17,46.04,93.83225,86.16,58.13825,108.27175,67.27,58.56975,90.43625
"380",37.9,58.17,46.04,93.94225,86.24,58.148,108.45225,67.28,58.56975,90.5465
"381",38,58.18,46.04,94.052,86.32,58.148,108.64225,67.29,58.5795,90.6665
"382",38.1,58.18,46.04,94.162,86.405,58.14825,108.8325,67.3,58.5795,90.7865
"383",38.2,58.18,46.04,94.272,86.49,58.14825,109.02275,67.31,58.57975,90.9065
"384",38.3,58.19,46.04,94.37225,86.56,58.14825,109.22275,67.33,58.57975,91.0265
"385",38.4,58.19,46.04,94.48225,86.62,58.14825,109.413,67.34,58.57975,91.1465
"386",38.5,58.19,46.04,94.59225,86.68,58.14825,109.613,67.35,58.57975,91.2665
"387",38.6,58.2,46.04,94.69225,86.74,58.15825,109.80325,67.36,58.57975,91.3865
"388",38.7,58.2,46.04,94.80225,86.805,58.15825,109.9935,67.37,58.57975,91.50625
"389",38.8,58.2,46.04,94.91225,86.87,58.15825,110.1935,67.38,58.57975,91.6165
"390",38.9,58.21,46.04,95.01225,86.95,58.15825,110.38375,67.39,58.57975,91.7365
"391",39,58.21,46.04,95.12225,87.035,58.1585,110.574,67.4,58.57975,91.8565
"392",39.1,58.21,46.04,95.2225,87.12,58.1585,110.77375,67.41,58.57975,91.9765
"393",39.2,58.22,46.04,95.33225,87.2,58.1585,110.964,67.42,58.57975,92.08675
"394",39.3,58.22,46.04,95.4325,87.29,58.1585,111.15425,67.43,58.57975,92.2065
"395",39.4,58.22,46.04,95.54225,87.38,58.1585,111.34425,67.44,58.57975,92.3265
"396",39.5,58.23,46.04,95.6425,87.47,58.1685,111.54425,67.45,58.57975,92.4465
"397",39.6,58.23,46.04,95.75225,87.555,58.1685,111.7345,67.46,58.57975,92.55675
"398",39.7,58.235,46.04,95.8525,87.645,58.1685,111.93425,67.47,58.5895,92.67675
"399",39.8,58.24,46.04,95.9525,87.735,58.1685,112.13425,67.48,58.5895,92.7965
"400",39.9,58.245,46.04,96.06225,87.81,58.1685,112.334,67.49,58.5895,92.90675
"401",40,58.245,46.04,96.1625,87.9,58.16875,112.534,67.5,58.5895,93.026
"402",40.1,58.25,46.04,96.2625,87.99,58.16875,112.734,67.51,58.5895,93.14525
"403",40.2,58.255,46.04,96.3725,88.07,58.16875,112.93375,67.52,58.5895,93.2545
"404",40.3,58.255,46.04,96.48225,88.155,58.16875,113.13375,67.53,58.5895,93.37375
"405",40.4,58.26,46.04,96.6115,88.23,58.169,113.3335,67.54,58.5895,93.493
"406",40.5,58.265,46.04,96.731,88.31,58.17875,113.5335,67.55,58.5895,93.60225
"407",40.6,58.265,46.04,96.8605,88.385,58.17875,113.73325,67.56,58.5895,93.7215
"408",40.7,58.265,46.04,96.98,88.46,58.179,113.93325,67.57,58.5895,93.83075
"409",40.8,58.265,46.04,97.08,88.53,58.179,114.133,67.58,58.5895,93.95
"410",40.9,58.27,46.04,97.18,88.6,58.179,114.333,67.58,58.58975,94.05925
"411",41,58.27,46.04,97.28,88.67,58.179,114.53275,67.59,58.58975,94.17825
"412",41.1,58.27,46.04,97.38,88.75,58.17925,114.73275,67.6,58.58975,94.28775
"413",41.2,58.27,46.04,97.48,88.84,58.17925,114.9325,67.61,58.58975,94.40675
"414",41.3,58.275,46.04,97.58,88.915,58.17925,115.1325,67.62,58.58975,94.51625
"415",41.4,58.28,46.04,97.68,88.99,58.17925,115.33225,67.635,58.58975,94.63525
"416",41.5,58.28,46.04,97.78,89.065,58.1795,115.53225,67.645,58.58975,94.7445
"417",41.6,58.28,46.04,97.88,89.14,58.18925,115.732,67.655,58.58975,94.8635
"418",41.7,58.285,46.04,97.9805,89.215,58.18925,115.932,67.665,58.58975,94.973
"419",41.8,58.29,46.04,98.0815,89.295,58.18925,116.13175,67.67,58.58975,95.092
"420",41.9,58.29,46.04,98.18225,89.38,58.1895,116.33175,67.68,58.58975,95.22075
"421",42,58.29,46.04,98.28325,89.465,58.1895,116.5315,67.685,58.5995,95.3495
"422",42.1,58.295,46.04,98.38425,89.555,58.1895,116.73125,67.69,58.5995,95.47825
"423",42.2,58.3,46.04,98.485,89.64,58.1895,116.93125,67.7,58.5995,95.60725
"424",42.3,58.3,46.04,98.586,89.715,58.18975,117.131,67.71,58.5995,95.72625
"425",42.4,58.3,46.04,98.67725,89.79,58.18975,117.331,67.72,58.5995,95.855
"426",42.5,58.3,46.04,98.778,89.865,58.18975,117.53075,67.73,58.5995,95.98375
"427",42.6,58.31,46.04,98.879,89.93,58.18975,117.7305,67.735,58.5995,96.1125
"428",42.7,58.31,46.04,98.98,89.995,58.19,117.93,67.74,58.5995,96.24125
"429",42.8,58.31,46.04,99.071,90.055,58.19,118.12,67.745,58.5995,96.36025
"430",42.9,58.315,46.04,99.172,90.115,58.19,118.31,67.755,58.5995,96.451
"431",43,58.315,46.04,99.263,90.175,58.19975,118.49,67.765,58.5995,96.53225
"432",43.1,58.32,46.04,99.3635,90.235,58.19975,118.68,67.77,58.5995,96.6135
"433",43.2,58.32,46.04,99.464,90.295,58.2,118.87,67.775,58.5995,96.68475
"434",43.3,58.325,46.04,99.55475,90.365,58.2,119.05,67.785,58.5995,96.77575
"435",43.4,58.325,46.04,99.6845,90.435,58.2,119.24,67.785,58.5995,96.88625
"436",43.5,58.325,46.04,99.82375,90.5,58.2,119.42,67.795,58.5995,97.00625
"437",43.6,58.335,46.04,99.96325,90.56,58.2,119.61,67.8,58.5995,97.11675
"438",43.7,58.335,46.04,100.1125,90.62,58.2,119.79,67.81,58.5995,97.22725
"439",43.8,58.335,46.04,100.252,90.68,58.2,119.98,67.82,58.5995,97.33775
"440",43.9,58.335,46.04,100.3915,90.74,58.2,120.17,67.825,58.5995,97.448
"441",44,58.34,46.04,100.53075,90.8,58.2,120.35,67.835,58.5995,97.5585
"442",44.1,58.345,46.04,100.67025,90.865,58.2,120.54,67.845,58.5995,97.669
"443",44.2,58.345,46.04,100.80975,90.93,58.2,120.7005,67.845,58.5995,97.77925
"444",44.3,58.345,46.04,100.94925,90.99,58.2,120.871,67.85,58.5995,97.8995
"445",44.4,58.35,46.04,101.0885,91.045,58.2,121.0315,67.855,58.5995,98.01
"446",44.5,58.35,46.04,101.228,91.105,58.2,121.202,67.86,58.5995,98.12025
"447",44.6,58.35,46.04,101.3675,91.165,58.2,121.3625,67.865,58.5995,98.23075
"448",44.7,58.355,46.04,101.50675,91.23,58.2,121.53275,67.865,58.5995,98.341
"449",44.8,58.36,46.04,101.64625,91.285,58.2,121.6935,67.875,58.5995,98.4515
"450",44.9,58.36,46.04,101.7855,91.345,58.21,121.8735,67.88,58.5995,98.562
"451",45,58.36,46.04,101.925,91.405,58.21,122.07325,67.885,58.5995,98.67225
"452",45.1,58.36,46.04,102.06425,91.46,58.21,122.263,67.895,58.5995,98.78275
"453",45.2,58.365,46.04,102.20375,91.52,58.21,122.453,67.895,58.5995,98.89325
"454",45.3,58.37,46.04,102.34325,91.58,58.21,122.64275,67.905,58.5995,99.0035
"455",45.4,58.37,46.04,102.4825,91.635,58.21,122.8325,67.905,58.5995,99.114
"456",45.5,58.375,46.04,102.622,91.695,58.21,123.0225,67.915,58.5995,99.22425
"457",45.6,58.375,46.04,102.76125,91.755,58.21,123.21225,67.92,58.5995,99.325
"458",45.7,58.38,46.04,102.9005,91.84,58.21,123.402,67.925,58.5995,99.43525
"459",45.8,58.385,46.04,103.04,91.925,58.21,123.592,67.93,58.5995,99.54575
"460",45.9,58.385,46.04,103.15075,92.005,58.21,123.78175,67.935,58.5995,99.656
"461",46,58.385,46.04,103.27125,92.06,58.21,123.9715,67.945,58.5995,99.7665
"462",46.1,58.395,46.04,103.382,92.11,58.21,124.1615,67.945,58.5995,99.877
"463",46.2,58.395,46.04,103.5025,92.16,58.21,124.35125,67.955,58.5995,99.98725
"464",46.3,58.395,46.04,103.61325,92.215,58.21,124.541,67.955,58.5995,100.09775
"465",46.4,58.4,46.04,103.724,92.27,58.21,124.73075,67.965,58.60925,100.19825
"466",46.5,58.4,46.04,103.8445,92.325,58.21,124.92075,67.965,58.60925,100.30875
"467",46.6,58.405,46.04,103.95525,92.375,58.21,125.1105,67.975,58.60925,100.419
"468",46.7,58.41,46.04,104.06575,92.43,58.21,125.31,67.975,58.60925,100.5295
"469",46.8,58.41,46.04,104.1765,92.48,58.21,125.49,67.985,58.60925,100.63
"470",46.9,58.41,46.04,104.297,92.53,58.21,125.67,67.985,58.60925,100.7405
"471",47,58.415,46.04,104.40775,92.57,58.21,125.86,67.99,58.60925,100.85075
"472",47.1,58.415,46.04,104.5185,92.62,58.21,126.04,67.995,58.60925,100.961
"473",47.2,58.42,46.04,104.62925,92.67,58.21,126.22,68,58.60925,101.06175
"474",47.3,58.42,46.04,104.74,92.725,58.21,126.4,68.01,58.60925,101.172
"475",47.4,58.425,46.04,104.86025,92.775,58.21,126.58,68.015,58.60925,101.2825
"476",47.5,58.425,46.04,104.971,92.83,58.21,126.76,68.025,58.60925,101.39275
"477",47.6,58.425,46.04,105.08175,92.885,58.22,126.95,68.025,58.6095,101.4935
"478",47.7,58.43,46.04,105.1925,92.94,58.22,127.13,68.035,58.6095,101.60375
"479",47.8,58.43,46.04,105.30325,93.01,58.22,127.31,68.035,58.6095,101.7045
"480",47.9,58.43,46.04,105.41375,93.08,58.22,127.49,68.04,58.6095,101.81475
"481",48,58.43,46.04,105.5245,93.15,58.22,127.67,68.04,58.6095,101.925
"482",48.1,58.43,46.04,105.63525,93.21,58.22,127.85,68.04,58.6095,102.0255
"483",48.2,58.43,46.04,105.746,93.265,58.22,128.0105,68.05,58.6095,102.13525
"484",48.3,58.435,46.04,105.8565,93.32,58.22,128.171,68.05,58.6095,102.2355
"485",48.4,58.435,46.04,105.96725,93.38,58.22,128.34125,68.055,58.6095,102.34525
"486",48.5,58.435,46.04,106.078,93.445,58.22,128.531,68.06,58.6095,102.45525
"487",48.6,58.44,46.04,106.18875,93.51,58.22,128.711,68.06,58.6095,102.55525
"488",48.7,58.44,46.04,106.29925,93.575,58.22,128.90075,68.07,58.6095,102.665
"489",48.8,58.44,46.04,106.41,93.635,58.22,129.08075,68.07,58.6095,102.76525
"490",48.9,58.44,46.04,106.52075,93.7,58.22,129.26075,68.075,58.6095,102.875
"491",49,58.44,46.04,106.63125,93.76,58.22,129.4505,68.08,58.6095,102.97525
"492",49.1,58.44,46.04,106.742,93.81,58.22,129.6305,68.08,58.6095,103.085
"493",49.2,58.44,46.04,106.85275,93.865,58.22,129.82025,68.09,58.6095,103.185
"494",49.3,58.44,46.04,106.9535,93.92,58.22,130.00025,68.09,58.6095,103.29475
"495",49.4,58.44,46.04,107.06425,93.98,58.22,130.19,68.095,58.6095,103.395
"496",49.5,58.45,46.04,107.175,94.03,58.22,130.37,68.1,58.6095,103.495
"497",49.6,58.45,46.04,107.2855,94.085,58.22,130.56,68.1,58.6095,103.60475
"498",49.7,58.45,46.04,107.39625,94.135,58.22,130.74,68.11,58.6095,103.70475
"499",49.8,58.45,46.04,107.497,94.19,58.22,130.92,68.11,58.6095,103.81475
"500",49.9,58.45,46.04,107.60775,94.245,58.22,131.11,68.11,58.6095,103.91475
"501",50,58.46,46.04,107.7185,94.295,58.22,131.29,68.12,58.6095,104.01475
